,0,1,2,3
RomancingSaga2_eplog.mid,201.45199099999655,F,minor,68
FFMQBoneDungeon.mid,126.10055999999913,F#,minor,118
BL_psh_gameplay_3.mid,53.38828125000014,C,major,175
BL_plok_rocketlauncher.mid,124.80000000000102,B,minor,125
FinalFight6.mid,196.01629202084342,C,minor,206
bof2bat2.mid,39.27268800000037,G,minor,110
ff2batPR.mid,100.36353600000118,A,minor,165
Zelda3_Dungeon_Theme_2.mid,149.21056507499824,A,major,140
iogmu.mid,225.45432000000258,A,major,132
DancingDoll.mid,65.0,A,major,120
09_Requiem.mid,132.08268141666795,F,major,60
SD3Boss2.mid,190.90680000000438,F,major,132
Smwyi1-1.mid,234.19308000000962,C,major,124
DV_-_Rysis_Field.mid,112.9318648333333,F,minor,136
PHANTOMT.mid,144.0,E,minor,160
FF4Fiend2.mid,258.92849949999703,A,minor,167
ter08.mid,65.53596000000157,B-,major,109
LEM2MENU.mid,216.7742080000109,D,major,123
MMX_-_Abandoned_Highway_-Remix-.mid,139.99985999999942,C,minor,180
smrpg_letsplaygeno.mid,108.60834937500022,A-,major,106
z3minigame.mid,50.9892243666677,E-,minor,93
26-BossStage4.mid,113.77766400000255,A-,major,135
SFcreditsWin.mid,171.42434156249723,A-,major,154
Zelda3-_Credits.mid,241.8132051562488,C,major,132
final_fantasy_iii_-_terra_-_ff6_generic_soundfont.mid,216.7500000000031,G#,minor,80
little_nori.mid,61.104268000000474,C,major,163
Dungeon-Master_Scene_of_Pandemonium.mid,244.94817599999263,A,minor,97
Kakariko_2.mid,157.7977900375008,B-,major,73
DV_-_Swamp_Field.mid,85.77769200000319,F,minor,135
Out_to_luwt1.mid,70.47612000000004,B,major,126
PdP-Title.mid,108.30943830728825,C,major,140
smrpgrosetown.mid,112.3297487812512,E-,major,180
Boss_(bad_timing).mid,147.8103310000021,D,minor,100
SuperSoccerRomania.mid,59.178095999999655,A,minor,145
Ryu.mid,103.43971137500552,G,minor,135
sfa2ken.mid,176.9870024999962,G,minor,156
sd315.mid,85.65600000000012,D,major,120
evermore_intro.mid,55.23804000000027,E,major,126
ff2pp.mid,37.759616175000026,C#,minor,210
SNES_Toki_Memo_Title.mid,113.68396799999924,A,minor,152
ff2cid.mid,239.99976000000433,A,major,130
super_mario_kart_dp.mid,42.98405199999999,C,minor,134
